f_id,item,veg_or_non_veg
fd982905,Lebanese Boneless Kebab + Falafel (4pcs) + Hummus,Non-veg
fd982906,Turkish Boneless Kebab + Falafel (4pcs) + Hummus + Garlic Potato Sots + Peppered Baked Veggies,Non-veg
fd982907,Lebanese Boneless Kebab + Falafel (4pcs) + Hummus + Garlic Potato Sots + Peppered Baked Veggies,Non-veg
fd982908,Peri Peri Boneless Kebab + Falafel + Hummus + Baked Veggies + Potato Cubes,Non-veg
fd982910,Turkish Chicken Balls  Rice Bowl [tc],Non-veg
fd982911,Turkish Chicken Kebab Rice Bowl,Non-veg
fd982912,Lebanese Chicken Doner  Rice Bowl [tc],Non-veg
fd982913,Turkish Grilled Chicken Rice Bowl,Non-veg
fd982918,Kabab 250 G,Non-veg
fd982919,Potluck Non Veg Thali,Non-veg
fd982920,Potluck Veg Thali,Veg
fd982927,Malai Kabab (4 Pcs),Non-veg
fd982928,Pahadi Kabab (4 Pcs),Non-veg
fd982941,Egg Dopyaja,Non-veg
fd982955,Pan Laddu,Veg
fd982956,Gujiya 4 Pc,Veg
fd982957,Balushahi 4 Pc,Veg
fd982959,Saffron Mysore Pak,Veg
fd982960,Ajmeeri Kalakand (Brown Milkcake),Veg
fd982961,Rasgulla 2Pcs,Veg
fd982962,Gulabjamun 4 Pc,Veg
fd982966,Kaju Bites Mango 4 Pc,Veg
fd982967,Kaju Bites Chocolate 4 Pc,Veg
fd982968,Kaju Bites Plain 4 Pc,Veg
fd982969,Kaju Bites Orange 4 Pc,Veg
fd982970,Kaju Bite All Mix 4 Pc,Veg
fd982974,Kaju Anjeer Dry Fruit Barfi,Veg
fd982975,Dates Roll (2 pcs),Veg
fd982976,Kachori 2 Pc,Veg
fd982978,Gole Nimki,Veg
fd982979,Gathiya Nimki,Veg
fd982981,BJP Special Bujjiya,Veg
fd982984,BJP Special Mixture,Veg
fd982988,Parota  Chicken Curry,Non-veg
fd982991,Mutton Boty,Non-veg
fd983008,Boneless Donne Biryani,Non-veg
fd983015,Salad Lassi,Veg
fd983035,Poori with Chola (4 Pcs),Veg
fd983037,Paneer Paratha .,Veg
fd983039,Butter Roti Thali,Veg
fd983042,Paratha with Rice,Veg
fd983049,Kadai Paneer with  Roti (5 Pcs),Veg
fd983050,Rajma with Roti (5 Pcs),Veg
fd983051,Rajma with Ghee Roti (5 Pcs),Veg
fd983054,Ghar Ka Curd Rice,Veg
fd983056,Chola with Roti (4 Pcs),Veg
fd983057,Chola with Ghee Roti (5 Pcs),Veg
fd983058,Ghee Roti Combo,Veg
fd983059,Matar Paneer with Ghee Roti (5 Pcs),Veg
fd983060,Rajma with Rice & Roti (3 Pcs),Veg
fd983061,DaL Fry with Roti (5 Pcs),Veg
fd983062,Dal Palak with Roti (5 Pcs),Veg
fd983070,"Chicken Biryani Half +chicken65 (4piece)parota 1 Egg 1, Raita, Gravy ,onion,cucumber",Non-veg
fd983071,"Chicken Biryani Half+kabab(2piece) Egg1 Raita, Gravy, Onion, Cucumber",Non-veg
fd983072,"Biryani Rice Half+ Kabab(3pieces) Egg1 ,raita,gravy, Onion,cucumber",Non-veg
fd983073,"Egg Biryani Half+ Egg 65half +parota +raita, Gravy, Onion,cucumber",Non-veg
fd983074,"Egg Biryani Half + Kabab(3piece) Parota ,raita, Gravy, Onion, Cucumber",Non-veg
fd983075,"Babycorn Biryani Half & Paneer 65(6pieces) Raita,gravy, Onion, Cucumber",Veg
fd983076,"Babycorn Biryani Half & Gobimanchurian Half ,raita,gravy, Onion,cucumber",Veg
fd983077,"Mushroom Biryani Half & Gobi Manchurian Half + Parota ,raita ,gravy, Onion, Cucumber",Veg
fd983078,"Veg Biryani Half & Mushroom65 Half +parota Raita ,gravy, Onion, Cucumber",Veg
fd983079,"Veg Biryani Half & Gobi Manchurian Half +  Raita,gravy, Onion,cucumbe",Veg
fd983082,Butter Malabar Parota,Veg
fd983098,Chinese Spl Fried Rice,Veg
fd983112,Hyderabadi Special Chicken Biryani,Non-veg
fd983114,Egg Fry Biryani,Non-veg
fd983128,Finger Chicken,Non-veg
fd983134,Gongura Chicken Fry,Non-veg
fd983157,White Rice + Single Egg Masala,Non-veg
fd983158,Single Egg Masala  (2) Malabar Paratha,Non-veg
fd983159,Andhra Special Chicken Curry,Non-veg
fd983160,Hyderabadi  Chicken,Non-veg
fd983167,Chicken Mugalaia Curry,Non-veg
fd983173,Hyderabadi  Veg Curry,Veg
fd983201,Egg Omlet (Double),Non-veg
fd983203,Egg Boiled [2pcs],Non-veg
fd983214,Gongura Chicken Masala,Non-veg
fd983218,Chicken Kabab Leg Piece,Non-veg
fd983366,Bhindi Masala Rice Bowl,Veg
fd983367,Aloo Jeera Rice Bowl,Veg
fd983368,Aloo Gobhi Rice Bowl,Veg
fd983369,Malai Paneer Rice Bowl,Veg
fd983373,Kadhi  Rice Bowl,Veg
fd983374,Curd Rice with Tadka Bowl,Veg
fd983378,Malai Chicken Rice Bowl,Non-veg
fd983379,Chicken Tikka Masala Rice Bowl,Non-veg
fd983380,Lasooni Chicken Rice Bowl,Non-veg
fd983392,Aloo Mutter Rice Bowl,Veg
fd983400,5 Rasmalai,Veg
fd983401,3 Rasmalai,Veg
fd983402,1 Rasmalai,Veg
fd983408,Dal Ghee Fry Rice Bowl,Veg
fd983409,Rajma Masala Rice Bowl,Veg
fd983418,Mutton Keema Rice Bowl,Non-veg
fd983419,Mutton Rogan Josh Rice Bowl,Non-veg
fd983420,Adraki Chicken Rice Bowl,Non-veg
fd983422,Mirinda 2.25 L,Veg
fd983423,Coca Cola 2.25 L,Veg
fd983424,Thumps Up 2.25 L,Veg
fd983425,Sprite 2.25 L,Veg
fd983426,7up 2.25 L,Veg
fd983427,Fanta 2.25 L,Veg
fd983432,Maaza 600ml,Veg
fd983434,7up 750ml,Veg
fd983436,Tmups Up 250ml,Veg
fd983437,Frooti 2 L,Veg
fd983438,Bbq Chicken Stick,Non-veg
fd983442,Sweetcorn With Butter Ginger,Veg
fd983443,Sweetcorn With Butter Salt,Veg
fd983444,Sweetcorn With Buttersalt,Veg
fd983445,Sweetcorn With Buttersalt Ginger,Veg
fd983446,Sweetcorn Butter Salt Mint,Veg
fd983447,Sweetcorn With Butter Salt Chat Masala,Veg
fd983448,Sweetcorn With Butter Salt Pepper,Veg
fd983449,Sweetcorn With Butter Salt Jaljeera,Veg
fd983450,Sweetcorn Salt Mint,Veg
fd983451,Natural Sugar Cane With Lemon Juice,Veg
fd983452,Sugar Cane With Ginger Natural Juice,Veg
fd983453,Sugar Cane With Mint Natural Juice,Veg
fd983454,Sugar Cane With Salt & Pepper Natural Juice,Veg
fd983455,Sugar Cane With Chat Masala Natural Juice,Veg
fd983456,Sugar Cane With Jaljeera Natural Juice,Veg
fd983457,Naples - Pepperoni Pizza (pork) (pizza Of  The Day),Non-veg
fd983458,Royal Hit Combo Veg Pizza,Veg
fd983459,Royal Hit Combo Non Veg Pizza,Non-veg
fd983460,Super Hit Combo Veg Pizza,Veg
fd983461,Super Hit Combo Non Veg Pizza,Non-veg
fd983462,Super Saver Combo Veg Pizza,Veg
fd983463,Super Saver Combo Non Veg Pizza,Non-veg
fd983544,Veg Pulao North,Veg
fd983569,Mushroom Manchurian With Gravy,Veg
fd983577,Baby Corn Manchurian With Gravy,Veg
fd983595,Open Butter Masala,Veg
fd983619,Kaju Pepper Masala,Veg
fd983629,Aloo Channa Masala,Veg
fd983640,Mala Mutter,Veg
fd983642,Veg Jai Puri,Veg
fd983651,Veg Shaikurma,Veg
fd983652,Paneer Shaikurma,Veg
fd983694,Kadai Kolhapuri,Veg
fd983697,Kadai Mix Vegetables,Veg
fd983722,Singapoor Fried Rice,Veg
fd983740,Lassi Sweet/salt,Veg
fd983742,Water Bottle 1/2ltr,Veg
fd983756,Trippli Fried Rice,Veg
fd983758,Dry Avalakki With Curd,Veg
fd983761,Baby Corn Lollipop,Veg
fd983785,Pepper Chai,Veg
fd983787,Lemon Ginger Chai,Veg
fd983791,European Hot Chocolate [1 cup - 100 ml],Veg
fd983793,Punjabi Aloo Samosa (2 Pcs],Veg
fd983794,Punjabi Paneer Samosa [2 Pcs],Veg
fd983795,Punjabi Chicken Samosa [2 Pcs],Non-veg
fd983796,Punjabi Peri Peri Corn Samosa [2Pcs],Veg
fd983797,Bread Pakoda [ 2pcs],Veg
fd983798,Sabudhana Cutlet [ 2pcs],Veg
fd983799,Vegetable Cutlet [ 2pcs],Veg
fd983800,Chicken Cutlet [ 2pcs],Non-veg
fd983801,Classic Vada Pav With Chura,Veg
fd983810,Feisty Egg Maggi,Non-veg
fd983811,Aloo Paratha [2pcs] + Aloo Bhaji+ Curd+ Pickle),Veg
fd983812,Aloo Onion Paratha ([2pcs] + Aloo Bhaji+Curd +Pickle),Veg
fd983813,OMG Paratha (Onion Methi Gobi)([2pcs] + Aloo Bhaji+Curd +Pickle),Veg
fd983814,Panner Paratha ([2pcs] + Aloo Bhaji+Curd +Pickle),Veg
fd983815,Mix Veg Paratha ([2pcs] + Aloo Bhaji+Curd +Pickle),Veg
fd983823,Punjabi Samosas Bucket - [6 Pcs],Veg
fd983824,Punjabi Kadai Chicken Samosa Bucket - [6 Pcs],Non-veg
fd983825,Punjabi Chicken Keema Samosa Bucket - [6 Pcs],Non-veg
fd983826,Punjabi Kadai Paneer Samosa Bucket - [6 Pcs],Veg
fd983827,Punjabi Peri Peri Corn Samosa Bucket - [6 Pcs],Veg
fd983828,Hariyali Paneer Tikka Bun Clubs [2 Pcs ],Veg
fd983829,Protien Packed Chole Bun Clubs [2 Pcs ],Veg
fd983831,Lemon Mint Sprite - [300Ml],Veg
fd983832,Chacolate Shake - [300Ml],Veg
fd983833,Cold Coffee - [300Ml],Veg
fd983834,Salt Lassi - [300Ml],Veg
fd983835,Sweet Lassi -[300Ml],Veg
fd983836,Watermelon - [300Ml],Veg
fd983838,[3] Any Chai of one flavour [300ml] + [2] Veg Delight Poha,Veg
fd983839,[3] Any Chai of one flavour [300ml] + [2] Veg Maggi,Veg
fd983840,[3] Any Chai of one flavour [300ml] + [2](Bun Egg burji),Veg
fd983841,"[4] Any Chai of one flavour [300ml] + [2](Aloo Paratha+ Aloobhaji+
curd+Pickle)",Veg
fd983842,[3] Any Chai of one flavour [300ml] + [2](Bun Paneer/Bun Chicken),Veg
fd983843,[3] Any Chai of one flavour [300ml] + Punjabi Samosa[2pcs],Veg
fd983844,Lassi [300ml] + Aloo Paratha,Veg
fd983845,Lassi [300ml]+ Veg Poha,Veg
fd983846,Gourment Chocochip Cookies [2pcs],Veg
fd983847,Gourment Espresso Chocochip Cookies [2pcs],Veg
fd983848,Butter Cookies [3 Pcs],Veg
fd983849,Masala Cookies [3 Pcs],Veg
fd983850,Whole Wheat Peanut Butter Cookies [3 Pcs],Veg
fd983851,Classic Venilla Cake [ 1 Pc],Non-veg
fd983852,Banana Cake [1 Pc],Non-veg
fd983853,Carrot Cake [1 Pc],Non-veg
fd983854,Punjabi Dil Se Special Non Veg Thali 4 (chicken),Non-veg
fd983861,Punjabi Dil Se Special Veg Thali 1,Veg
fd983862,Punjabi Dil Se Special Veg Thali 2,Veg
fd983863,Punjabi Dil Se Special Non Veg Thali 3 (chicken),Non-veg
fd983865,Punjabi Dil Se Special Non Veg Thali 5 (mutton),Non-veg
fd983866,Punjabi Dil Se Special Non Veg Thali 6 (mutton),Non-veg
fd983890,Tawa  Veg,Veg
fd983891,Diwani Handi.,Veg
fd983892,Mushroom Masala.,Veg
fd983893,Kadai  Mushroom,Veg
fd983898,Paneer  Lababdar,Veg
fd983899,Methi Malai  Paneer,Veg
fd983900,Sahi  Paneer,Veg
fd983901,Paneer  Mushroom Masala,Veg
fd983903,Palak  Paneer,Veg
fd983906,Mutter Paneer Dry,Veg
fd983911,Dal Tadka.,Veg
fd983920,Chicken Lababdar.,Non-veg
fd983926,Mutton  Rogan Josh,Non-veg
fd983927,Mutton  Kadai,Non-veg
fd983928,Mutton  Kheema Masala,Non-veg
fd983929,Mutton  Masala,Non-veg
fd983931,Chicken Lehusunia.,Non-veg
fd983932,Tandoori Chicken Masala.,Non-veg
fd983944,Peas Pulav Rice,Veg
fd983948,Veg Pulav Rice,Veg
fd983952,Aloo Paratha(2 Piece),Veg
fd983954,Paneer Paratha(2 Piece),Veg
fd983955,Buter Garlic Naan,Veg
fd983963,Shami Kebab Beef,Non-veg
fd983964,Vell Kebab Beef,Non-veg
fd983965,Sugar Cane With Ginger Natural Juice 250ml,Veg
fd983966,Sugarcane With Lemon Natural Juice 500ml,Veg
fd983967,Sugarcane With Ginger Natural Juice 500ml,Veg
fd983968,Sugar Cane With Mint Natural Juice 500ml,Veg
fd983969,Natural Sugar Cane With Salt & Pepper 500ml,Veg
fd983970,Natural Sugar Cane With Chat Masala 500ml,Veg
fd983971,Sugar Cane With Jaljeera Natural Juice 500ml,Veg
fd983972,Sugar Cane With Lemon Natural Juice 1000ml,Veg
fd983973,Natural Sugarcane With Ginger 1000ml,Veg
fd983974,Sugar Cane With Mint Natural Juice 1000ml,Veg
fd983975,Natural Sugarcane With Salt & Pepper 1000ml,Veg
fd983976,Sugar Cane With Chat Masala Natural Juice 1000ml,Veg
fd983977,Natural Sugar Cane With Jaljeera 1000ml,Veg
fd983978,Sugar Cane With Lemon Natural Juice 250ml,Veg
fd983979,Sugar Cane With Mint Natural Juice 250ml,Veg
fd983980,Natural Sugar Cane With Salt & Pepper 250ml,Veg
fd983981,Natural Sugar Cane With Chat Masala 250ml,Veg
fd983982,Sugar Cane With Jaljeera Natural Juice 250ml,Veg
fd983990,Set Dosa [3 No],Veg
fd983998,Idly [2pcs],Veg
fd983999,Thatte Idly [1pc],Veg
fd984000,Ghee Podi Thatte [1pc],Veg
fd984003,Mangalore Buns [1pc],Veg
fd984004,Mangalore Buns [2pcs],Veg
fd984014,Starwberry Milk Shake,Veg
fd984035,Starwberry Mojito,Veg
fd984038,Vergin Marry Mojito,Veg
fd984039,Dairy Milk Milkshake,Veg
fd984041,Gemes Milkshake,Veg
fd984151,Dal Makhani ( Black ),Veg
fd984152,Dum Alo ( Punjabi ),Veg
fd984162,Methi Panner,Veg
fd984163,Gucchi Panner,Veg
fd984176,Egg Parotha,Non-veg
fd984179,Egg Masala Mugalai,Non-veg
fd984184,Chilly Chicken Gravy Boneless,Non-veg
fd984187,Chicken Hyderabadi Chilly,Non-veg
fd984196,Boiled Egg ( 2 ),Non-veg
fd984204,Panner Burgi,Veg
fd984221,Chicken 65 Boneless (12 Pcs),Non-veg
fd984234,Mineral Water ( 1 Ltr ),Veg
fd984243,Lessi,Veg
fd984251,Masala Paped,Veg
fd984257,Mashroom Paper Dry,Veg
fd984262,Chicken Leg Peace,Non-veg
fd984264,Mutton Rogan Masala,Non-veg
fd984266,Mutton Paper Dry,Non-veg
fd984271,Belanjir Rawa Fry,Non-veg
fd984272,Nang Curry,Non-veg
fd984273,Nang Masala,Non-veg
fd984274,Nang Rawa Fry,Non-veg
fd984275,Nang Tawa Fry,Non-veg
fd984276,Nang Fry,Non-veg
fd984281,Anjal Rawa Fry,Non-veg
fd984282,Anjal Fry,Non-veg
fd984283,Ada Meen Pulimunchi,Non-veg
fd984284,Ada Meen Curry,Non-veg
fd984285,Ada Meen Tawa Fry,Non-veg
fd984286,Ada Meen Rawa Fry,Non-veg
fd984287,Ada Meen Fry,Non-veg
fd984288,Ada Meen Masala,Non-veg
fd984289,Kadai Pulimuchi,Non-veg
fd984290,Kokkar Pulimunchi,Non-veg
fd984291,Kokkar Masala,Non-veg
fd984292,Kokkar Rawa Fry,Non-veg
fd984293,Holibaige Curry,Non-veg
fd984294,Holibaige Tawa Fry,Non-veg
fd984295,Kane Pulimanchi,Non-veg
fd984296,Kane Rawa Fry,Non-veg
fd984297,Kane Masala,Non-veg
fd984298,Phamphlet Curry,Non-veg
fd984301,Bangada Pulimuchi,Non-veg
fd984305,Bangada Fried Rice,Non-veg
fd984307,Bangada Masala,Non-veg
fd984308,Bhuthai Fried Rice,Non-veg
fd984309,Bhuthai Fry,Non-veg
fd984310,Bhuthai Masala,Non-veg
fd984312,Belanjir Masala,Non-veg
fd984313,Belanjir Pepper Dry,Non-veg
fd984320,Bhuthai Tawa Fry,Non-veg
fd984321,Bhuthai Rawa Fry,Non-veg
fd984322,Phamphlet Tawa Fry,Non-veg
fd984323,Phamphlet Fry,Non-veg
fd984324,Phamphlet Masala,Non-veg
fd984325,Bhuthai Pulimanchi,Non-veg
fd984326,Phamphlet Rawa Fry,Non-veg
fd984327,Phamphlet Pulimanchi,Non-veg
fd984331,Kane Currry,Non-veg
fd984332,Holibaige Rawa Fry,Non-veg
fd984333,Holibaige Pulimanchi,Non-veg
fd984334,Kokkar Fry,Non-veg
fd984335,Kokkar Tawa Fry,Non-veg
fd984336,Kokkar Curry,Non-veg
fd984337,Kodai Masala,Non-veg
fd984338,Kodai Fry,Non-veg
fd984339,Kodai Rawa Fry,Non-veg
fd984340,Kodai Tawa Fry,Non-veg
fd984341,Kodai Curry,Non-veg
fd984342,Nang Pulimunchi,Non-veg
fd984347,Boll [Half],Non-veg
fd984366,Chicken Moghulai,Non-veg
fd984370,Butter Chicken Bl,Non-veg
fd984394,Tamota Masala,Veg
fd984396,Veg Kolaipuria,Veg
fd984397,Dal Kolaipuri,Veg
fd984408,Prawn Sukha,Non-veg
fd984415,Prawn Ginger Masala,Non-veg
fd984431,Tutty Fruity Special (fruit Salad Sundae) - 210 Gm,Veg
fd984470,Create Your Own Sundae (200 Gm),Veg
fd984492,Brownie Ala Mod Stone Sundae - 180 Gms,Veg
fd984519,The Og Chicken Burger,Non-veg
fd984520,Ultimate Shredded Chicken,Non-veg
fd984521,The Peppery Lamb,Non-veg
fd984522,Shredded Moo Explosion,Non-veg
fd984523,Sinned Bacon Peanut Butter,Non-veg
fd984524,Classic Bacon & Ham,Non-veg
fd984525,Shredded Oink Explosion with Bacon,Non-veg
fd984526,The Og Bacon and Cheese,Non-veg
fd984527,Mexican Chilli Cheese Burger,Veg
fd984528,Gourmet Mushroom Explosion,Veg
fd984529,Double Chicken Trouble,Non-veg
fd984530,Sloppy Joe's Special,Non-veg
fd984531,The Shrimpsons Burger,Non-veg
fd984532,Fully Loaded American Cheese Burger,Non-veg
fd984533,The Shredded Oink N Cheese Burger,Non-veg
fd984534,The Moo'Ed Cheese Burger,Non-veg
fd984537,Nutella Surprise,Veg
fd984538,Coffee N Cream,Veg
fd984540,Snicker Bomb,Veg
fd984543,Meister Fried Chicken Wings,Non-veg
fd984544,Prawn Pops,Non-veg
fd984545,Saucy Texas BBQ Wings,Non-veg
fd984546,Fully Loaded Nachos - Non-Veg,Non-veg
fd984547,Fully Loaded Nachos Veg,Veg
fd984548,Lil'Meister - Chicken,Non-veg
fd984549,Lil'Meister - Veg,Veg
fd984550,Classic Cookie Dough Thickshake,Veg
fd984551,Dark Chocolate Cookie Dough Thickshake,Veg
fd984552,Coffee Cookie Dough Thickshake,Veg
fd984553,Classic Cookie Dough with Vanilla Ice Cream,Veg
fd984554,Classic Cookie Dough with Chocolate Ice Cream,Veg
fd984555,Dark Chocolate Cookie Dough with Chocolate Ice Cream,Veg
fd984556,Coffee Cookie Dough with Vanilla Ice Cream,Veg
fd984557,Coffee Cookie Dough with Chocolate Ice Cream,Veg
fd984685,Grill Chicken Variety Combo 4,Non-veg
fd984686,Grill Chicken Variety Combo 3,Non-veg
fd984687,Grill Chicken Variety Combo 2,Non-veg
fd984688,Grill Chicken Variety Combo 1,Non-veg
fd984689,Grill Chicken Spicy Drumstick ( 12pcs ),Non-veg
fd984690,Grill Chicken Spicy Drumstick ( 8pcs ),Non-veg
fd984691,Grill Chicken Spicy Drumstick ( 4pcs ),Non-veg
fd984692,Grill Chicken Spicy Drumstick ( 2pcs ),Non-veg
fd984693,Grill Chicken Flamey Wings ( 20pcs ),Non-veg
fd984694,Grill Chicken Flamey Wings ( 12pcs ),Non-veg
fd984695,Grill Chicken Flamey Wings ( 4pcs ),Non-veg
fd984696,Grill Chicken Fiery Whole Leg ( 2pc),Non-veg
fd984697,Buy 1 Crispy Chicken Wrap + Get 1 Super Veggie Wrap Free,Non-veg
fd984698,Buy 1 D B Grilled Chicken Burger + Get 1 Little Dia Burger Free,Non-veg
fd984699,Buy 1 Chicken Cheese Burst Burger + Get 1 Kiddy Chicken Burger Free,Non-veg
fd984700,Buy 1 Me Fried Chicken Burger + Get 1 Little Dia Burger Free,Non-veg
fd984701,Chicken Spring Roll Bucket ( 20pcs),Non-veg
fd984702,Chicken Spring Roll ( 4pcs),Non-veg
fd984703,Kiddly Veg Burger,Veg
fd984705,Mac and Cheese Burger,Veg
fd984710,Kiddly Chicken Burger,Non-veg
fd984711,Little Dia Burger,Non-veg
fd984716,ME Chicken Burger,Non-veg
fd984718,Kiddy Veg Burger + French Fries (R) + Iced Lemon Tea,Veg
fd984719,Classic Veg Burger + French Fries (R) + Iced Lemon Tea,Veg
fd984720,Man & Cheese Burger + French Fries (R) + Iced Lemon Tea,Veg
fd984721,Paneer Cheese Burger + French Fries (R) + Iced Lemon Tea,Veg
fd984722,Veg Super Twin Burger + French Fries (R) + Iced Lemon Tea,Veg
fd984723,Egg Burger + French Fries (R) + Iced Lemon Tea,Non-veg
fd984724,Fish Burger + Chicken Fries (R) + Iced Lemon Tea,Non-veg
fd984725,Little Dia Burger + Chicken Fries (R) + Iced Lemon Tea,Non-veg
fd984726,Classic Chicken Burger + Chicken Fries (R) + Iced Lemon Tea,Non-veg
fd984727,Tandoori Chicken Burger + Chicken Fries (R) + Iced Lemon Tea,Non-veg
fd984728,Chicken Cheese Burger + Chicken Fries (R) + Iced Lemon Tea,Non-veg
fd984729,Super Twin Burger + Chicken Fries (R) + Iced Lemon Tea,Non-veg
fd984730,Kiddy Chicken Burger + Chicken Fries (R) + Iced Lemon Tea,Non-veg
fd984731,ME Fried Chicken Burger Chicken Fries (R) + Iced Lemon Tea,Non-veg
fd984732,DB Grilled Chicken Burger + Chicken Fries (R) + Iced Lemon Tea,Non-veg
fd984733,Kiddy Veg Burger + French Fries (R) + Drink (Mojito Or Frappe),Veg
fd984734,Classic Veg Burger + French Fries (R) + Drink (Mojito Or Frappe),Veg
fd984735,Mac and Cheese Burger + French Fries (R) + Drink (Mojito Or Frappe),Veg
fd984736,Paneer Cheese Burst Burger + French Fries (R) + Drink (Mojito Or Frappe),Veg
fd984737,Veg Super Twin Burger + French Fries (R) + Drink (Mojito Or Frappe),Veg
fd984738,Egg Burger + French Fries (R) + Drink (Mojito Or Frappe),Non-veg
fd984739,Fish Burger + Chicken Fries (R) + Drink (Mojito Or Frappe),Non-veg
fd984740,Kiddy Chicken Burger + Chicken Fries (R) + Drink (Mojito Or Frappe),Non-veg
fd984741,Little Dia Burger + Chicken Fries (R) + Drink (Mojito Or Frappe),Non-veg
fd984742,Classic Chicken Burger + Chicken Fries (R) + Drink (Mojito Or Frappe),Non-veg
fd984743,Tandoori Chicken Burger + Chicken Fries (R) + Drink (Mojito Or Frappe),Non-veg
fd984744,Chicken Cheese Burst Burger + Chicken Fries (r) + Drink,Non-veg
fd984745,Super Twin Burger + Chicken Fries (r) + Drink,Non-veg
fd984746,Me Chicken Burger + Chicken Fries (r) + Drink,Non-veg
fd984747,Db Grilled Chicken Burger + Chicken Fries (r) + Drink,Non-veg
fd984748,French Fries Regular (50 gms),Veg
fd984749,French Fries Large (80 gms),Veg
fd984750,Veg Poppers (100 gms),Veg
fd984751,Potato Wedges (100 gms),Veg
fd984752,Cheese Corn Nuggests (5 Pcs),Veg
fd984753,Crispy Paneer Cubes (100 gms),Veg
fd984754,Chicken Fries Regular (10 Pcs),Non-veg
fd984755,Chicken Fries Large (15 Pcs),Non-veg
fd984756,Chicken Nuggests (5 Pcs),Non-veg
fd984757,Me Popcorn (100 Gms),Non-veg
fd984758,Me Chicken Strips (3 Pcs),Non-veg
fd984759,Me Chicken Lollipop (4 Pcs),Non-veg
fd984760,Me Wings (4 Pcs),Non-veg
fd984761,Cheesy Chicken Bacon Fries,Non-veg
fd984762,Cheesy Nacho Dip,Veg
fd984766,Classic Fried Chicken - 2 Pcs,Non-veg
fd984767,Classic Fried Chicken Chota Buckety (4 Pcs),Non-veg
fd984768,Classic Fried Chicken Bucket (8 Pcs),Non-veg
fd984769,Classic Fried Chicken (2 Pcs) Drumstick,Non-veg
fd984770,Classic Fried Chicken (4 Pcs) Drumstick,Non-veg
fd984771,Classic Fried Chicken Jumbo ( 1 Pc ),Non-veg
fd984772,Classic Fried Chicken Crispy (1 Pc ),Non-veg
fd984773,Fiery Indian Fried Chicken (2 Pcs) Chicken,Non-veg
fd984774,Classic Indian Fried Chicken Chota Buckety (4 Pcs),Non-veg
fd984775,Fiery Indian Fried Chickn Bucket (8 Pcs),Non-veg
fd984776,Fiery Indian Fried Chicken (2 Pcs) Drumstick,Non-veg
fd984777,Fiery Indian Fried Chicken (4 Pcs) Drumstick,Non-veg
fd984778,Fiery indian Fried Chicken Jumbo (1 Pc),Non-veg
fd984779,Fiery Indian Fried Chicken Crispy (1 Pc),Non-veg
fd984781,Verity Chicken Bucket (12 Pcs),Non-veg
fd984782,Boneless Strips (9 Pcs),Non-veg
fd984783,Drum Stick Bucket,Non-veg
fd984784,Veg Briyani+ Veg Popperse + Raita,Veg
fd984785,Chunky Chicken Biriyani ( 1pc Grill Chicken Whole Leg +raita),Non-veg
fd984786,Chunky Chicken Biriyani (4 Pc Grill Chicken Wings + Raita),Non-veg
fd984787,Chunky Chicken Biriyani ( 1pc Grill Chicken Drumstick + Raita),Non-veg
fd984788,Chunky Chicken Biryani + 1 Pc Fried Chicken + Raita,Non-veg
fd984789,Chunky Chicken Biryani + Chicken Popper + Raita,Non-veg
fd984792,Chettinadu Chicken Wrap,Non-veg
fd984796,Crispy Chicken Sandwich (Spicy),Non-veg
fd984798,Creamy Mushroom with Penne Pasta,Veg
fd984799,Chicken Frankfurters,Non-veg
fd984808,French Fries (R)+ Ice Lemon Tea,Veg
fd984809,Chicken Fries (R) + Ice Lemon Tea,Non-veg
fd984810,Fried Chicken (1 pc) + Ice Lemon Tea,Non-veg
fd984811,French Fries (R)+ Mojito,Veg
fd984812,Chicken Fries (R) + Mojito,Non-veg
fd984813,Fried Chicken ( 1 pc ) + Mojito,Non-veg
fd984814,Fried Chicken (1 pc) + Chicken Fries (R),Non-veg
fd984815,Chicken Bacon,Non-veg
fd984816,Chicken Bacon & Chips,Non-veg
fd984820,Grill Chicken Fiery Leg Quarter,Non-veg
fd984822,Kadhai Chicken Paratha Meal,Non-veg
fd984826,Mutton Rogan Josh Paratha Meal,Non-veg
fd984838,Kadhi  Paratha Meal,Veg
fd984873,Butter Combo,Non-veg
fd984874,Kuldeep's Combo,Veg
fd984877,Pindi Chhole With Jeera Rice,Veg
fd984878,Badami Poori With Aloo Matar Sabji,Veg
fd984881,Chicken Tikka Balle Balle,Non-veg
fd984882,Kohva Ke Malai Mushroom,Veg
fd984885,Karivepaku Kodi,Non-veg
fd984886,Bharwa Mirchi Achari Paneer,Veg
fd984887,French Fries Te Butter Chicken,Non-veg
fd984888,Gunpowder Bites (baby Potatoes),Veg
fd984889,Tri-color Mini Kulchas,Veg
fd984890,Kasundi Broccoli,Veg
fd984894,Sooji Wali Paani Poori,Veg
fd984895,Aloo Tikki Chhole With A Twist,Veg
fd984896,Bombaiya Dahi Poori,Veg
fd984898,Calcutta Jhaal Moori,Veg
fd984899,Bhuna Mushroom Cream Soup,Veg
fd984900,Tamatar Soup,Veg
fd984902,Thandai Shahi Tukda,Veg
fd984904,Moti Mahal Special Dal,Veg
fd984905,Mix Bukhara Dal,Veg
fd984907,Tawa Kofta,Veg
fd984909,Koyla Paneer Makhani,Veg
fd984910,Pind Ke Aloo Chhole,Veg
